N°;Année;Ville Org;Département Org;Joueur 1;Joueur 2;Joueur 3;Categorie;Formation;Sexe;Département Représenté;Comité/Ligue Représenté;Ville Représentée;Club Représenté
173;1993;Sarreguemines;57;QUINTAIS Nathalie;QUINTAIS Philippe;;SENIOR;DOUBLETTE;MIXTE;77;Seine & Marne;Barbizon;Star Master's
174;1994;Epinal;88;QUINTAIS Nathalie;QUINTAIS Philippe;;SENIOR;DOUBLETTE;MIXTE;28;Eure & Loire;Hanches;A-S-Hanches
175;1995;Pau;64;LAUER Virginie;BERMOND Camille;;SENIOR;DOUBLETTE;MIXTE;04;Alpes-de-Haute-Provence;St-Auban;U-S-C-A-S-A
176;1996;Lamoura;39;SARDA Martine;SCHATZ Michel;;SENIOR;DOUBLETTE;MIXTE;34;Hérault;Montpellier;Team-Nicollin
177;1997;Nîmes;30;SARDA Martine;SCHATZ Michel;;SENIOR;DOUBLETTE;MIXTE;34;Hérault;Montpellier;Team-Nicollin
178;1998;Villefranche/Saône;69;SARDA Martine;SCHATZ Michel;;SENIOR;DOUBLETTE;MIXTE;34;Hérault;Montpellier;Team-Nicollin
179;1999;Alençon;61;GELIN Nathalie;RADNIC Zvonko;;SENIOR;DOUBLETTE;MIXTE;71;Saone & Loire;Macon;Pétanque Maconnaise
180;2000;Montauban;82;JAUNET Sylvie;SUCHAUD Philippe;;SENIOR;DOUBLETTE;MIXTE;03;Allier;Montluçon;Amicale les Marais
181;2001;Evreux;27;MINERVA Michéle;CORTES Simon;;SENIOR;DOUBLETTE;MIXTE;34;Hérault;Lodève;Boule Sauvage
182;2002;Charleville-Méziéres;8;SIROT Nathalie;CHOUPAY Didier;;SENIOR;DOUBLETTE;MIXTE;77;Seine & Marne;Barbizon;Star Master's
183;2003;Flamanville;50;TERRIEN Pascale;GRANDET Thierry;;SENIOR;DOUBLETTE;MIXTE;33;Gironde;Canéjan;Boule Canejanaise
184;2004;Agen;47;FOULHAC Audrey;FOULHAC Jean-Luc;;SENIOR;DOUBLETTE;MIXTE;46;Lot;Biars/Cere;Pétanque Biarnaise
185;2005;Fort-de-France;972;COLOMBET/PAPON Angélique;XISTO Jean-Michel;;SENIOR;DOUBLETTE;MIXTE;63;Puy-de-Dôme;Ambert;Elite Club Ambert
186;2006;Argenton/Creuse;36;ROCHE Séverine;SUCHAUD Philippe;;SENIOR;DOUBLETTE;MIXTE;06;Alpes Maritimes;Nice;Dépt-Union-Club
187;2007;Niort;79;ROCHE Séverine;SUCHAUD Philippe;;SENIOR;DOUBLETTE;MIXTE;06;Alpes Maritimes;Nice;Dépt-Union-Club
188;2008;Laon;2;DELLA-PIETRA Anne-Marie;QUINTAIS Philippe;;SENIOR;DOUBLETTE;MIXTE;06;Alpes Maritimes;Nice;Dépt-Union-Club
189;2009;Aurillac;15;COLOMBET/PAPON Angélique;RADNIC Zvonko;;SENIOR;DOUBLETTE;MIXTE;63;Puy-de-Dôme;Cournon;Joyeux Cochonnet
190;2010;Flamanville;50;COLOMBET/PAPON Angélique;DURK Maison;;SENIOR;DOUBLETTE;MIXTE;63;Auvergne;Cournon;Joyeux Cochonnet
191;2011;Strasbourg;67;DUBARRY/STOKER Fabienne;LELLOUCHE Kevin;;SENIOR;DOUBLETTE;MIXTE;65;Midi-Pyrénées;Lourdes;E-S Lourdes
192;2012;Espalion;12;SAUNIER Christine;ROCHER Dylan;;SENIOR;DOUBLETTE;MIXTE;6;Alpes Maritimes;Nice;Dépt-Union-Club
193;2013;Trignac;44;COLOMBET/PAPON Angélique;RAYNE Nicolas;;SENIOR;DOUBLETTE;MIXTE;63;Auvergne;Cournon d'Auvergne;J-C Cournon-d'Auvergne
194;2014;Colomiers;31;GOMES Johanna;GAMBERT Alban;;SENIOR;DOUBLETTE;MIXTE;27;Eure;Vernon;Vernon Pétanque
195;2015;Rennes;35;DENAUD Vanessa;LOY Michel;;SENIOR;DOUBLETTE;MIXTE;69;Rhône;Lyon;Pétanque des Canuts
196;2016;Rumilly;74;DARODES Charlotte;FELTAIN Richard;;SENIOR;DOUBLETTE;MIXTE;17;Charente Maritime;Royan;Royan Pétanque
1;1946;Montpellier;34;BIANCOTTO Jean;MERLO Noel ;BEZZA François;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Marseille;Boule du Pharo
2;1947;Avignon;84;CUTAJAR Clément;VACARRO Armand;FILHOL Pierre;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Marseille;Lei-Ben-Quia
3;1948;Alès;30;BIANCOTTO Jean;BIENVENUTTI Francis;MAGNANI Triestino;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Marseille;Boule du Pharo
4;1949;Valence;26;LUCIARDI Auguste;GUGLIELMI Baptiste;RAYNAUD Etienne;SENIOR;TRIPLETTE;MASCULIN;83;Var;Toulon;Boule de Besagne
5;1950;Manosque;4;TASSONE Emile;GAILLARD Léon;CAPONE Louis;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Marseille;Les Embrouilleurs
6;1951;Toulon;83;GARZINO Joseph;HIDEUX Eugéne;BALDI Alphonse;SENIOR;TRIPLETTE;MASCULIN;83;Var;Toulon;Boule Argentée
7;1952;Nîmes;30;DAUMAS Marcel;MARQUIS Honoré;TICHIT Jean;SENIOR;TRIPLETTE;MASCULIN;84;Vaucluse;Avignon;Boule Carrée St-Lazare
8;1953;Perpignan;66;RUOCCO Gaétan;POULET Gustave;GILLOUX Pierre;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Aix-en-Provence;Boule Aixoise
9;1954;Narbonne;11;MICHEL Raoul;VILLEVIEILLE Louis;RIGAUD Paul;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Aix-en-Provence;Boule Aixoise
10;1955;Cannes;6;MICHEL Raoul;VILLEVIEILLE Louis;RIGAUD PAUL;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Aix-en-Provence;Boule Aixoise
11;1956;Montpellier;34;AIDINIAN Henri;MANOUKIAN Olivier;SAURA Joseph;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Marseille;Pétanque Coq-Oddo
12;1957;Toulouse;31;AMIEL Marcel;MAGNANI Triestino;BEZZA François;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Marseille;Zan-Zan Pétanque
13;1958;Valence;26;ARAMA Jo;GALLAND Raymond;OLIVIER Félix;SENIOR;TRIPLETTE;MASCULIN;75;Ile-de-France;Paris;Lou Pitchoun
14;1959;Tarbes;65;AIDINIAN Henri;AUDRY Georges;BERARD Aimé;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Marignane;Base Aérienne
15;1960;Clermont-Fd;63;PISAPIA Albert;BELLANTONIO Vincent;BATTESTI Jean;SENIOR;TRIPLETTE;MASCULIN;13;Bouches-du-Rhone;Marseille;Pétanque Gazélec
